ID,label,sessions,drives,total_sessions,n_days_after_onboarding,total_navigations_fav1,total_navigations_fav2,driven_km_drives,duration_minutes_drives,activity_days,driving_days,device
177,retained,26,21,150,3217,163,17,1714.8,1137.6,13,10,Android
178,retained,12,12,15,3345,0,62,7170.2,5209.6,5,5,iPhone
179,retained,12,11,125,961,256,31,1580.0,1172.1,30,25,iPhone
180,retained,95,77,205,3091,223,113,1330.2,694.2,15,10,iPhone
181,retained,11,11,60,1265,160,66,6508.3,2393.7,18,16,iPhone
182,churned,158,127,483,1379,90,99,6359.7,3871.4,8,8,iPhone
183,retained,63,51,164,2060,0,0,2793.9,2196.6,24,22,iPhone
184,retained,181,147,344,3498,34,0,2847.3,1463.1,16,9,Android
185,churned,2,2,18,2252,21,0,4267.3,1968.3,7,2,iPhone
186,retained,42,34,186,189,71,0,3989.1,2421.2,30,27,iPhone
187,retained,47,47,58,3110,11,24,1358.5,523.7,23,18,Android
188,retained,13,13,149,1026,0,0,9677.8,2910.9,28,20,iPhone
189,retained,69,55,613,2127,295,44,2250.6,573.6,9,6,iPhone
190,retained,91,73,99,1814,0,49,4142.8,3194.8,6,3,Android
191,churned,150,122,247,1070,187,0,6393.5,4553.2,6,6,iPhone
192,retained,71,61,107,26,49,167,3389.6,2533.3,26,17,Android
193,retained,49,40,178,3477,16,0,3304.9,876.6,11,11,iPhone
194,churned,231,191,406,745,0,11,3527.6,936.0,28,18,iPhone
195,retained,80,64,94,1364,374,75,541.5,242.0,29,23,Android
196,retained,20,17,64,149,33,0,8844.0,4499.9,20,17,iPhone
197,retained,67,54,230,1256,41,64,5045.4,2109.5,12,8,iPhone
198,retained,16,13,187,3306,184,32,905.7,299.0,10,10,Android
200,churned,5,5,139,321,0,0,8809.2,2667.9,3,0,Android
201,churned,26,22,113,957,622,0,1611.4,892.5,7,3,iPhone
202,retained,57,46,272,777,95,33,2804.2,1976.3,6,5,Android
203,retained,83,67,96,1532,125,0,2948.9,993.9,6,6,Android
204,retained,192,175,222,2047,102,51,3166.4,960.8,24,23,Android
205,retained,33,30,110,1364,0,0,3560.0,2406.5,14,12,iPhone
206,retained,26,22,137,82,437,28,2167.8,1735.4,6,6,Android
207,churned,40,32,145,3346,443,9,3074.7,1895.6,30,27,iPhone
208,retained,108,87,192,110,0,20,6769.0,1506.1,28,26,iPhone
209,retained,147,147,232,3414,133,53,5110.8,2591.2,23,14,iPhone
210,churned,351,281,454,3362,0,0,1812.5,665.3,9,8,Android
211,retained,28,23,66,780,61,0,2214.4,998.4,27,22,iPhone
212,retained,118,98,262,1728,74,208,3780.8,1561.4,30,24,iPhone
213,retained,53,53,78,1208,175,0,1678.6,1292.6,21,14,iPhone
214,retained,58,51,182,707,1,0,2687.3,274.4,12,5,Android
215,retained,32,28,130,2747,66,143,1134.7,194.8,22,21,Android
216,retained,198,161,216,2806,86,0,5592.7,3732.7,21,15,iPhone
217,retained,0,0,34,629,160,0,6103.9,1767.8,8,2,iPhone
218,churned,24,19,120,1827,0,0,5161.4,3521.6,3,2,iPhone
219,retained,134,108,305,805,38,0,9674.8,992.5,28,18,iPhone
220,retained,45,36,521,667,0,13,7906.1,4617.9,8,5,Android
221,retained,131,106,199,2208,0,0,1282.6,319.4,11,11,iPhone
222,retained,130,104,164,853,133,0,2871.6,1542.0,10,10,iPhone
223,retained,14,12,228,1757,34,0,4979.2,1724.0,28,19,iPhone
224,retained,185,149,311,3287,165,0,3810.5,772.7,27,22,iPhone
225,retained,51,41,437,745,93,0,3685.4,2801.6,27,26,iPhone
226,retained,72,59,163,332,1,0,2376.0,921.2,29,20,iPhone
227,retained,17,17,146,1905,106,0,1675.4,753.1,25,24,Android
228,retained,37,37,63,2057,0,14,1087.1,781.0,14,14,iPhone
229,retained,7,6,177,2951,73,56,7589.6,4500.6,13,11,iPhone
230,churned,15,12,111,1118,61,0,2368.5,1260.7,7,3,iPhone
231,retained,91,73,104,3387,266,19,6995.4,2721.1,11,9,Android
232,churned,1,1,37,2041,46,163,6861.3,4983.9,12,9,iPhone
233,retained,9,8,259,343,351,117,3091.3,2512.7,16,15,iPhone
234,retained,56,46,56,1918,25,9,5799.6,905.9,3,3,iPhone
235,churned,16,13,178,2937,108,0,1242.1,261.8,11,8,iPhone
236,retained,136,110,137,605,364,0,1342.6,333.6,31,21,iPhone
237,retained,239,192,376,2616,13,0,6343.5,4878.6,7,7,iPhone
238,churned,17,13,210,171,57,0,3006.4,1539.7,4,4,iPhone
239,retained,120,101,548,3014,237,0,2474.6,1107.7,12,8,Android
240,retained,9,9,94,1638,37,0,2280.4,1175.6,8,3,Android
241,retained,49,45,78,3178,14,19,3520.9,2367.1,3,3,iPhone
242,churned,51,42,68,1828,0,24,7160.1,4289.1,12,12,Android
243,churned,293,235,363,710,222,0,4007.9,1589.5,8,6,iPhone
244,retained,73,66,104,1413,0,0,1755.8,1311.5,17,13,iPhone
245,retained,10,8,71,2266,43,31,889.0,256.7,5,5,iPhone
246,retained,16,16,50,1987,157,0,1139.9,374.8,18,13,iPhone
247,retained,29,29,90,1998,293,86,8353.3,4877.5,17,15,iPhone
248,churned,48,39,109,1507,0,0,3331.5,2717.4,11,7,Android
249,retained,148,128,171,1288,221,110,3490.0,1430.9,7,4,iPhone
250,retained,25,25,26,2036,0,0,7236.9,3064.0,26,24,iPhone
251,churned,94,75,102,1718,0,98,5315.0,1962.2,3,3,Android
252,churned,103,84,117,720,25,0,4455.2,1422.4,3,2,iPhone
253,retained,27,22,44,1551,65,121,5654.1,1326.1,10,10,iPhone
254,churned,48,39,65,1315,191,2,4637.0,1602.2,3,3,Android
255,retained,263,216,272,1696,1,48,5096.2,944.8,0,0,iPhone
256,retained,138,111,221,872,97,77,2947.9,317.2,18,14,iPhone
257,retained,229,198,277,2118,185,0,1234.4,721.7,22,19,iPhone
258,retained,64,55,263,3384,146,0,2854.9,1019.9,29,22,iPhone
259,churned,231,186,239,2012,47,0,2903.1,794.2,21,20,iPhone
260,retained,26,21,154,462,65,31,7527.0,4070.4,10,9,Android
261,retained,68,55,90,558,0,44,4157.9,3232.4,13,12,iPhone
262,retained,226,181,249,2585,420,94,2649.8,1705.6,26,16,iPhone
263,retained,98,80,139,1502,188,9,2352.8,1356.9,21,13,iPhone
264,retained,19,17,108,489,84,0,6016.8,3032.1,15,11,iPhone
265,retained,45,36,78,520,5,29,4603.9,1490.4,27,19,Android
267,retained,31,27,199,2891,171,0,3255.9,1919.4,26,21,iPhone
268,retained,13,10,35,1179,0,99,1023.6,337.8,31,29,iPhone
269,retained,32,27,101,311,198,39,4939.4,3849.6,11,10,Android
270,retained,21,17,172,901,376,45,1710.0,703.5,24,22,iPhone
271,retained,52,52,127,1672,714,0,6135.0,4409.8,27,17,iPhone
272,retained,75,61,159,1990,48,55,3169.7,1325.9,10,10,iPhone
273,retained,57,45,298,2962,0,13,6933.9,2058.2,7,7,Android
274,retained,27,22,187,2125,411,23,1517.9,469.8,22,16,Android
275,retained,245,200,362,662,566,16,3287.6,1178.9,25,22,iPhone
276,retained,34,27,92,2761,174,0,2218.5,1057.0,16,8,iPhone
277,retained,69,61,115,1065,19,0,5795.6,4479.1,22,17,Android
278,churned,172,142,253,1823,0,28,4468.7,2400.3,4,4,iPhone
279,retained,266,214,441,485,40,29,1467.4,1188.4,29,19,iPhone
280,retained,42,36,357,1064,7,33,7447.1,2503.8,17,17,iPhone
281,churned,2,2,68,3150,0,60,3837.6,2842.7,1,0,iPhone
282,retained,51,42,116,2747,231,0,6283.7,3332.2,27,24,iPhone
284,retained,55,44,92,672,82,0,7185.2,3885.2,8,8,iPhone
285,retained,2,2,113,1399,238,94,1731.4,1064.2,24,18,Android
286,retained,12,10,71,2395,39,91,5385.3,3025.3,28,27,iPhone
287,churned,119,96,264,230,150,7,951.0,353.2,6,6,iPhone
289,retained,189,162,420,1787,331,17,2782.4,883.8,5,5,iPhone
290,churned,13,13,28,2523,245,21,1406.7,757.4,3,0,Android
291,churned,183,149,222,1848,266,51,1624.8,1035.0,5,5,Android
292,retained,6,5,158,596,225,0,4290.1,1616.2,5,0,iPhone
293,churned,141,116,299,1158,115,33,1089.9,206.6,22,22,Android
294,retained,67,54,108,3491,57,0,918.8,745.8,13,13,Android
295,retained,35,34,171,1010,22,152,1864.1,1376.5,30,28,iPhone
296,retained,209,168,461,858,58,0,7271.7,1483.4,28,23,iPhone
297,retained,72,58,89,3266,362,119,3556.8,1681.7,21,21,iPhone
298,retained,24,19,26,2359,78,43,1017.7,811.3,9,9,iPhone
299,churned,95,77,181,812,137,166,7208.5,2471.8,0,0,iPhone
300,retained,71,57,230,3236,0,0,3296.5,1971.9,17,16,Android
302,retained,85,85,86,1910,72,86,7006.8,4708.1,28,20,Android
303,retained,21,20,80,76,133,60,5114.8,1815.3,25,23,iPhone
304,retained,82,66,218,187,0,0,3484.7,1108.4,3,3,Android
305,retained,333,268,340,1071,63,0,1404.5,478.7,19,13,iPhone
306,churned,5,5,27,1331,36,15,8281.3,3066.8,11,11,iPhone
307,retained,21,17,40,3026,258,53,1609.8,1238.5,15,11,Android
308,retained,139,115,144,1493,0,21,11976.6,7850.5,16,11,iPhone
310,retained,108,87,133,2193,193,30,10652.9,4022.2,22,13,iPhone
311,churned,11,11,65,2227,116,25,4746.9,3456.6,4,4,iPhone
312,churned,16,14,192,1013,66,28,3883.1,1991.6,2,0,Android
314,retained,27,23,66,3154,167,0,1510.3,1234.8,17,17,Android
315,retained,105,85,125,3500,516,9,4020.8,2222.2,8,8,iPhone
316,retained,23,19,314,2926,440,0,1013.5,618.7,30,24,iPhone
317,retained,64,51,104,2148,78,80,4964.0,875.9,8,5,iPhone
318,retained,275,221,377,1822,0,0,3162.1,908.6,15,13,iPhone
319,retained,17,16,406,2388,417,0,4111.6,3296.7,28,25,iPhone
320,retained,29,29,199,1406,102,0,9309.4,3684.8,19,14,Android
321,retained,38,31,47,2742,0,0,1636.7,458.3,24,23,iPhone
322,retained,10,9,13,2027,88,0,1296.9,899.4,23,22,iPhone
323,retained,115,92,187,1695,116,15,4477.2,2212.2,23,20,iPhone
324,churned,102,89,114,2212,202,1,5137.1,2385.4,11,9,Android
325,retained,63,51,230,107,0,0,1897.0,1210.3,19,19,iPhone
326,retained,145,119,163,1951,109,76,5748.9,2328.1,17,17,iPhone
327,churned,12,12,16,346,0,0,1250.3,786.0,2,2,iPhone
328,retained,38,31,146,1164,298,78,1906.6,216.5,1,0,Android
329,retained,8,8,339,327,190,0,1983.9,1199.1,14,10,iPhone
331,retained,90,90,247,3284,739,45,2223.8,356.0,27,18,Android
332,retained,27,22,114,1331,102,0,3517.8,2710.2,10,9,iPhone
334,retained,47,41,218,3140,0,58,4045.5,1917.9,21,14,iPhone
335,retained,34,27,182,1206,35,0,2833.6,2045.4,31,28,iPhone
336,churned,194,165,205,1698,199,375,1626.5,256.2,3,3,iPhone
337,retained,65,53,68,936,359,0,4320.1,530.3,23,23,Android
338,churned,251,202,330,1420,0,60,4506.5,1842.1,1,0,iPhone
339,retained,0,0,0,347,130,0,2520.9,1539.3,20,15,iPhone
340,retained,12,10,27,2717,20,3,3214.3,1687.5,28,22,Android
341,retained,186,152,216,587,220,71,3180.1,1116.5,13,13,Android
342,retained,96,77,226,3305,134,0,9975.3,1652.2,8,3,Android
343,retained,29,23,75,1733,1,0,3872.7,738.9,28,17,iPhone
344,retained,68,68,128,2153,254,0,9209.7,4332.2,28,23,iPhone
345,retained,70,57,162,256,265,0,1813.7,1028.2,4,2,iPhone
346,retained,11,11,162,1593,254,58,3147.7,374.3,16,9,iPhone
347,churned,164,131,692,3425,172,0,6742.3,1162.6,1,0,iPhone
348,churned,58,56,285,1864,716,73,4556.4,1775.6,5,0,Android
349,retained,198,159,206,1075,111,9,4052.9,1786.2,20,16,iPhone
350,retained,72,58,165,1191,227,1,2180.3,1049.6,13,9,iPhone
351,retained,142,114,164,2197,107,46,6399.9,804.4,28,22,iPhone
352,retained,26,21,95,3455,391,40,10413.5,1899.3,6,2,iPhone
353,retained,60,51,158,882,252,97,1346.6,940.6,11,11,iPhone
354,retained,25,21,48,831,27,0,4486.7,2185.4,29,22,Android
355,retained,78,64,137,134,310,47,4751.8,411.3,20,12,Android
356,retained,48,47,93,3049,699,267,6624.6,3778.2,30,29,iPhone
357,retained,16,13,182,850,237,108,8622.1,834.0,17,11,iPhone
358,retained,150,121,157,3127,132,0,2224.8,1237.3,27,25,Android
359,retained,5,5,367,1807,0,0,595.3,495.8,19,17,iPhone
360,retained,30,25,372,1382,64,0,10803.9,7725.9,27,20,iPhone
361,retained,45,45,50,195,94,30,6839.5,2139.7,16,14,iPhone
362,churned,249,200,297,1074,0,0,2361.3,1474.8,5,0,Android
363,churned,260,208,413,778,81,0,2778.6,1619.2,30,19,iPhone
364,churned,100,80,106,3064,48,155,1217.8,604.1,4,0,Android
365,retained,33,33,304,2470,56,102,4636.1,3524.2,7,7,iPhone
366,retained,21,21,54,1202,181,0,6670.9,3775.6,15,15,iPhone
367,churned,64,52,305,2593,31,0,2842.5,1413.3,10,4,iPhone
368,churned,43,35,196,2942,0,21,6112.0,257.9,3,0,Android
369,retained,29,23,348,3401,0,12,4539.4,1045.5,26,25,iPhone
370,retained,2,2,25,750,0,0,3147.6,1257.0,20,16,iPhone
371,churned,43,35,146,2568,240,19,2978.9,1766.9,0,0,iPhone
372,churned,131,105,353,789,0,43,1037.2,321.3,15,12,iPhone
373,retained,187,149,207,2289,113,0,2925.9,1217.7,13,8,iPhone
374,churned,29,29,117,3417,92,5,6436.3,2946.4,2,1,Android
375,retained,129,103,179,1731,115,38,2541.1,1764.1,10,7,iPhone
376,churned,256,209,387,2707,0,0,3309.9,660.6,1,1,iPhone
377,retained,47,47,231,1889,0,25,2733.9,810.8,26,24,Android
378,retained,48,48,73,2840,292,27,3429.6,2674.6,28,23,iPhone
379,churned,74,60,246,2500,113,0,6527.3,2332.1,6,4,iPhone
380,churned,29,25,285,2847,23,176,1981.5,858.5,11,11,Android
381,retained,42,41,150,1698,163,0,2795.7,982.3,16,14,iPhone
382,retained,150,120,400,2942,30,25,3583.1,2154.8,20,12,Android
383,retained,76,61,314,1033,514,47,4386.3,3195.9,22,13,iPhone
384,retained,25,21,44,2974,37,5,3361.7,826.1,1,1,iPhone
385,churned,43,35,95,3175,20,19,2615.2,1285.6,4,1,Android
386,churned,78,63,234,1143,17,17,3805.0,1536.1,10,9,iPhone
387,retained,116,93,400,2010,4,28,792.0,527.0,23,14,iPhone
388,retained,111,89,396,94,16,0,1614.8,1097.2,14,14,iPhone
389,retained,113,91,180,3229,64,49,5349.9,2001.2,27,17,iPhone
390,retained,7,6,28,2859,0,0,9629.7,3754.2,21,14,iPhone
391,retained,50,50,78,156,11,3,4025.6,1528.3,17,13,Android
392,churned,42,34,63,565,171,104,5300.2,2540.1,20,15,Android
393,retained,226,182,448,289,16,0,3214.0,2218.3,16,11,iPhone
394,retained,29,25,66,674,0,26,2305.7,695.9,29,22,Android
395,churned,30,30,184,7,2,23,6630.2,4540.3,4,4,iPhone
396,retained,370,299,426,1321,75,0,3303.0,200.2,25,18,iPhone
397,retained,4,3,98,3301,0,83,1553.2,1186.5,0,0,Android
398,retained,80,64,126,533,43,4,4281.8,2084.1,27,18,iPhone
399,retained,12,11,109,159,0,80,3462.9,2019.3,26,18,iPhone
400,retained,20,17,37,3494,88,0,8877.6,2811.8,29,25,iPhone
401,retained,20,20,192,1660,24,38,1631.8,1063.8,22,16,iPhone
402,retained,159,127,175,1526,0,0,3298.7,2559.8,28,19,Android
403,retained,3,3,119,2043,24,130,3366.7,1539.0,25,23,iPhone
